pool_size,n,num_grids,time_s
8,80,20000,2.6830614170003173
8,80,25000,3.2913091250002253
8,80,40000,5.085498583000117
8,80,50000,6.2537455830006365
8,80,75000,9.332348750000165
8,80,80000,10.077438166999855
8,80,100000,12.26107545800005
8,100,5000,1.0004778329994224
8,100,7500,1.5230967090001286
8,100,8000,1.5279600840003695
8,100,10000,1.7910615420005342
8,100,20000,3.2869814579999
8,100,25000,4.37981208400015
8,100,40000,6.775270832999922
8,100,50000,7.34543875000054
8,100,75000,10.64032033300009
8,100,80000,12.497877791000064
8,100,100000,14.993212332999974
8,200,5000,1.6851814999999988
8,200,7500,2.420629834000465
8,200,8000,2.532339417000003
8,200,10000,3.0602907499996945
8,200,20000,5.822266582999873
8,200,25000,7.232792041999346
8,200,40000,11.611875999999938
8,200,50000,14.304974124999717
8,200,75000,22.24064270800045
8,200,80000,24.65422245800073
8,200,100000,28.48162154200145
8,250,5000,1.979274749999604
8,250,7500,2.899350208001124
8,250,8000,3.0163074169995525
8,250,10000,3.7117152500013617
8,250,20000,7.290906541000368
8,250,25000,8.94563916700099
8,250,40000,14.402133999999933
8,250,50000,17.5917304579998
8,250,75000,26.240747207999448
8,250,80000,28.020877457998722
8,250,100000,34.73036716599927
8,400,5000,3.389279166000051
8,400,7500,4.867830208000669
8,400,8000,5.096966666998924
8,400,10000,6.325396207999802
8,400,20000,12.336373415999333
8,400,25000,15.177976375000071
8,400,40000,24.295827500000087
8,400,50000,29.290003874999456
8,400,75000,42.80357400000139
8,400,80000,45.46692704100133
8,400,100000,58.4338267080002
8,500,5000,4.772429167000155
8,500,7500,6.104990833999182
8,500,8000,6.341672291999203
8,500,10000,7.78327362500022
8,500,20000,15.253379874999155
8,500,25000,19.27535474999968
8,500,40000,30.728662457999235
8,500,50000,39.93105062500035
8,500,75000,59.17648562500108
8,500,80000,64.12043504199937
8,500,100000,80.73710299999948
